类别：所有类别

周,Brackets: (美国)
2020-06-21,33
2020-06-28,34
2020-07-05,35
2020-07-12,39
2020-07-19,36
2020-07-26,33
2020-08-02,33
2020-08-09,33
2020-08-16,35
2020-08-23,37
2020-08-30,39
2020-09-06,36
2020-09-13,36
2020-09-20,33
2020-09-27,33
2020-10-04,35
2020-10-11,34
2020-10-18,37
2020-10-25,38
2020-11-01,29
2020-11-08,35
2020-11-15,36
2020-11-22,35
2020-11-29,35
2020-12-06,41
2020-12-13,38
2020-12-20,34
2020-12-27,42
2021-01-03,41
2021-01-10,44
2021-01-17,47
2021-01-24,51
2021-01-31,50
2021-02-07,44
2021-02-14,42
2021-02-21,46
2021-02-28,51
2021-03-07,57
2021-03-14,100
2021-03-21,65
2021-03-28,48
2021-04-04,38
2021-04-11,38
2021-04-18,36
2021-04-25,37
2021-05-02,38
2021-05-09,39
2021-05-16,37
2021-05-23,36
2021-05-30,35
2021-06-06,36
2021-06-13,33
